university,count
"University of Surrey, United Kingdom (Great Britain)",2
"RWTH Aachen University, Germany",2
"Sungkyunkwan University, Korea (South)",2
"Fondazione Bruno Kessler, Italy",2
"IBM Research -- Haifa, Israel",2
"IBM Research - Haifa, Israel",2
Huawei Huang,2
"Zhejiang University, China & University of Illinois at Urbana Champaign (UIUC), USA",2
"Institute of Computing Technology Chinese Academy of Sciences, China",2
"Illinois Institute of Technology, USA",2
"Nanjing University, China & State Key Laboratory for Novel Software Technology, China",2
"Taiyuan University of Technology, China",2
"Beijing Normal University (Zhuhai) and UIC, China",2
"Xi'an Jiaotong University & Tsinghua University, China",2
"University of Massachusetts Amherst & California Institute of Technology, USA",2
"Beijing University of Posts and Telecommunication, China",2
"Tel-Aviv University, Israel",2
"HeFei University of Technology, China",2
"University of Massachusetts Amherst, USA",2
"The Hong Kong University of Science and Technology & Queen Mary University of London, Hong Kong",2
"The Hong Kong University of Science and Technology (HKUST), Hong Kong",2
"National Yang Ming Chiao Tung University, Taiwan",2
"National Chung Cheng University, Taiwan",2
"Huawei Technologies Co., Ltd., China",2
Vincenzo Sciancalepore,2
"Siemens AG, Germany",2
"University of Louisiana at Lafayette, USA",2
"Vienna University of Technology, Austria",2
"Dublin City University, Ireland",2
"Northwestern University, USA",2
"ELTE Eötvös Loránd University, Hungary",2
"Aalborg University, Denmark",2
"Nanjing Normal University, China",2
"Università della Svizzera Italiana, Switzerland",2
"Fixstars, Japan",2
"NTT, Japan",2
"University of Warwick, United Kingdom (Great Britain)",2
"BeiHang University, China",2
"Institute of Computing Technology, Chinese Academy of Sciences & Nanjing Institute of InforSuperBahn, China",2
"University of Tehran, Iran",2
Younsuk Dong and Zhichao Cao,2
"Telefonica Research, Spain",2
"Telefónica Research, Spain",2
"Hamburg University of Applied Sciences, Germany",2
"University of Washington, USA",2
"Los Alamos National Lab, USA",2
"Los Alamos National Laboratory, USA",2
"Sandia National Laboratories, USA",2
"Sangmyung University, Korea (South)",2
"The Chinese University of Hong Kong, China",2
"NEC Laboratories Europe, Spain",2
"CNIT/University of Brescia, Italy",2
"Sun Yat-sen University, USA",2
"Microsoft Research, China",2
"China Mobile, China",2
"George Washington University, USA",2
"University of Tsinghua, China",2
"Pennsylvania State University, USA",2
"Shanghai Enflame Technology Company Limited, China",2
"Orange Innovation, France",2
"Cisco Research, USA",2
"University of Tennessee at Chattanooga, USA",2
"University at Albany, USA",2
"Case Western Reserve University, USA",2
"Zhejiang Gongshang University, China",2
"Zhejiang Lab, China",2
"Ericsson Canada, Canada",2
"Iowa State University, USA",2
"The University of Arizona, USA",2
"Old Dominion University & School of Cybersecurity, USA",2
"University of Minnesota - Twin Cities, USA",2
"Institute of Information Engineering, Chinese Academy of Sciences & School of Cyber Security, University of Chinese Academy of Sciences, China",2
"Institute of Information Engineering, Chinese Academy of Sciences & School of Cyber Security, UCAS, China",2
"NanJing University, China",2
"REASONS Lab, Institute for Network Sciences and Cyberspace, Tsinghua University, China",2
"Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, China",2
"Zhongnan Hospital of Wuhan University, China",2
"Microsoft, China",2
"NC State University, USA",2
"China Mobile (Suzhou) Software Technology Co., Ltd, China",2
"Shanghai University of Finance and Economics, China",2
"Université Gustave Eiffel, France",2
"University of Science and Technology Beijing, China",2
"University of Jinan, China",2
"University of Palermo, Italy",2
"Huawei Cloud Computing Technologies Co., Ltd., China",2
"China Telecom Cloud Computing Research Institute, China",2
"Hanyang University, Seoul, South Korea, Korea (South)",2
"China University of Petroleum (East China), China",2
"China University of Petroleum (East China) & College of Computer Science and Technology, China",2
"Computer Network Information Center, Chinese Academy of Sciences & University of Chinese Academy of Sciences, China",2
"The University of Edinburgh, United Kingdom (Great Britain)",2
"University of Neuchatel, Switzerland",2
"The University of Texas at Dallas, USA",2
"Korea Institute of Energy Technology, Korea (South)",2
University of Brasília,2
InterDigital Canada Ltée,2
unaffiliated,2
Federal University of Sao Paulo,2
University of Oslo,2
Leibniz University Hannover,2
BBC R&D,2
RIKEN,2
University of Duisburg-Essen,2
UFF,2
Washington University at Saint Louis,2
Hasselt University - tUL - EDM,2
Alpen-Adria-Universität Klagenfurt,2
University of Essex,2
Synamedia,2
Y. K. Erinc,2
"TU Delft, Netherlands",2
Snap Research,2
XYZ10,2
Harbin Institute of Technology (Shenzhen),2
The University of Michigan,2
UNIST,2
University of Massachusetts Amherst and Microsoft Research Asia,2
Beijing Jiaotong University,2
Samsung Research America,2
Nippon Telegraph and Telephone Corporation,2
"Telecom SudParis, Institut Polytechnique de Paris",2
"University of California, Los Angeles Computer Science Department",2
Chung-Ang University,2
Zhejiang University and Alibaba Group,2
